Node,  X Coordinate (m),  Y Coordinate (m),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000155,    7700.00000    ,    0.00000000    ,  -0.304860764E-10,    0.00000000    
0000000156,    7750.00000    ,    0.00000000    ,  -0.294340666E-10,    0.00000000    
0000000157,    7800.00000    ,    0.00000000    ,  -0.284075131E-10,    0.00000000    
0000000158,    7850.00000    ,    0.00000000    ,  -0.274056814E-10,    0.00000000    
0000000159,    7900.00000    ,    0.00000000    ,  -0.264278426E-10,    0.00000000    
0000000160,    7950.00000    ,    0.00000000    ,  -0.254732731E-10,    0.00000000    
0000000161,    8000.00000    ,    0.00000000    ,  -0.245412555E-10,    0.00000000    
0000000162,    8050.00000    ,    0.00000000    ,  -0.236310791E-10,    0.00000000    
0000000163,    8100.00000    ,    0.00000000    ,  -0.227420400E-10,    0.00000000    
0000000164,    8150.00000    ,    0.00000000    ,  -0.218734414E-10,    0.00000000    
0000000165,    8200.00000    ,    0.00000000    ,  -0.210245940E-10,    0.00000000    
0000000166,    8250.00000    ,    0.00000000    ,  -0.201948162E-10,    0.00000000    
0000000167,    8300.00000    ,    0.00000000    ,  -0.193834341E-10,    0.00000000    
0000000168,    8350.00000    ,    0.00000000    ,  -0.185897817E-10,    0.00000000    
0000000169,    8400.00000    ,    0.00000000    ,  -0.178132013E-10,    0.00000000    
0000000170,    8450.00000    ,    0.00000000    ,  -0.170530429E-10,    0.00000000    
0000000171,    8500.00000    ,    0.00000000    ,  -0.163086647E-10,    0.00000000    
0000000172,    8550.00000    ,    0.00000000    ,  -0.155794331E-10,    0.00000000    
0000000173,    8600.00000    ,    0.00000000    ,  -0.148647221E-10,    0.00000000    
0000000174,    8650.00000    ,    0.00000000    ,  -0.141639137E-10,    0.00000000    
0000000175,    8700.00000    ,    0.00000000    ,  -0.134763973E-10,    0.00000000    
0000000176,    8750.00000    ,    0.00000000    ,  -0.128015698E-10,    0.00000000    
0000000177,    8800.00000    ,    0.00000000    ,  -0.121388352E-10,    0.00000000    
0000000178,    8850.00000    ,    0.00000000    ,  -0.114876041E-10,    0.00000000    
